date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:43	16798/16798	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD3ABCEDC%22	https://developweb1194.z33.web.core.windows.net/	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/index.html	(from )
00:32:43	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Tue,%2012%20Mar%202024%2019:02:43%20GMT	https://developweb1194.z33.web.core.windows.net/robots.txt		(from )
00:32:44	168/168	---M--	200	added ('OK')	image/png	etag:%220x8DC42BCD5CFBE03%22	https://developweb1194.z33.web.core.windows.net/images/msmm.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/msmm.png	(from https://developweb1194.z33.web.core.windows.net/)
00:32:45	18104/18104	---M--	200	added ('OK')	text/css	etag:%220x8DC42BCD55A02FF%22	https://developweb1194.z33.web.core.windows.net/css/tapa.css	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/css/tapa.css	(from https://developweb1194.z33.web.core.windows.net/)
00:32:46	79064/79064	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD8AD9329%22	https://developweb1194.z33.web.core.windows.net/js/jquery-1.4.4.min.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/jquery-1.4.4.min.js	(from https://developweb1194.z33.web.core.windows.net/)
00:32:47	84734/84734	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD7856B35%22	https://developweb1194.z33.web.core.windows.net/js/noir.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/noir.js	(from https://developweb1194.z33.web.core.windows.net/)
00:32:48	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Tue,%2012%20Mar%202024%2019:02:48%20GMT	https://developweb1194.z33.web.core.windows.net/GET	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/GET.4.delayed	(from https://developweb1194.z33.web.core.windows.net/)
00:32:50	1278648/1278648	---M--	200	added ('OK')	audio/mpeg	etag:%220x8DC42BCDA2AAC7B%22	https://developweb1194.z33.web.core.windows.net/media/aud0jp87.mp3	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/media/aud0jp87.mp3	(from https://developweb1194.z33.web.core.windows.net/)
00:32:50	113635/113635	---M--	200	added ('OK')	image/png	etag:%220x8DC42BCD76C1A8B%22	https://developweb1194.z33.web.core.windows.net/images/bg.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/bg.png	(from https://developweb1194.z33.web.core.windows.net/)
00:32:51	48466/48466	---M--	200	added ('OK')	image/png	etag:%220x8DC42BCD5E95CC3%22	https://developweb1194.z33.web.core.windows.net/images/boxc.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/boxc.png	(from https://developweb1194.z33.web.core.windows.net/)
